list_number,is_target,test_position,type_general,type_specific,meanx
4,true,26,Tn,Tn+1,0.9038461538461539
4,false,27,Fn,Fn+1,0.04878048780487805
5,false,3,Tn,Tn,0.9473684210526315
5,false,6,F,F,0.022727272727272728
5,false,7,SOn,SOn,0.7272727272727273
5,false,16,Fn,Fn,0.8297872340425532
5,false,17,Fn,Fn+1,0.019230769230769232
5,false,20,Fn,Fn+1,0.07142857142857142
5,false,22,F,F,0.0425531914893617
5,false,23,SOn,SOn,0.7407407407407407
5,true,24,Tn,Tn+1,0.8717948717948718
5,false,25,Tn,Tn,0.9523809523809523
6,false,1,F,F,0.0
6,false,2,Tn,Tn,0.926829268292683
6,false,10,SOn,SOn,0.7708333333333334
6,false,13,Fn,Fn,0.7090909090909091
6,false,15,Fn,Fn,0.7884615384615384
6,false,26,Fn,Fn+1,0.05454545454545454
7,false,2,SOn,SOn,0.64
7,false,7,Fn,Fn,0.7884615384615384
7,true,14,Tn,Tn+1,0.8604651162790697
7,false,15,Tn,Tn,0.927536231884058
7,false,16,F,F,0.0
7,false,22,SOn,SOn,0.7368421052631579
7,false,27,Fn,Fn+1,0.08888888888888889
8,false,2,Tn,Tn,0.8809523809523809
8,false,12,Tn,Tn,0.9607843137254902
8,false,17,F,F,0.015625
8,false,19,Fn,Fn,0.7586206896551724
8,false,22,F,F,0.025
8,true,25,Tn,Tn+1,0.9245283018867925
