list_number,is_target,test_position,type_general,type_specific,meanx
2,false,16,F,F,0.018867924528301886
2,false,17,Tn,Tn,0.9787234042553191
2,false,18,Fn,Fn,0.7872340425531915
2,true,19,Tn,Tn+1,0.85
2,false,20,Fn,Fn+1,0.08695652173913043
2,false,24,Fn,Fn,0.8235294117647058
2,false,25,Tn,Tn,1.0
2,false,28,F,F,0.11627906976744186
3,false,1,Tn,Tn,0.9583333333333334
3,false,3,Fn,Fn+1,0.0
3,true,4,T,T,0.8957345971563981
3,false,6,SOn,SOn,0.9024390243902439
3,true,11,T,T,0.893491124260355
3,true,12,Tn,Tn+1,0.9433962264150944
3,false,13,Fn,Fn,0.8648648648648649
3,false,15,Fn,Fn,0.7551020408163265
3,true,16,T,T,0.8811881188118812
3,false,18,F,F,0.07407407407407407
3,true,20,Tn,Tn+1,0.9591836734693877
3,false,22,F,F,0.023809523809523808
3,false,23,SOn,SOn,0.8596491228070176
3,true,25,Tn,Tn+1,0.9772727272727273
3,false,26,F,F,0.0392156862745098
3,false,28,Tn,Tn,0.9777777777777777
3,false,30,Tn,Tn,0.9655172413793104
4,false,1,SOn,SOn,0.6964285714285714
4,false,4,SOn,SOn,0.8260869565217391
4,true,6,T,T,0.8923076923076924
4,false,8,F,F,0.0392156862745098
4,false,10,Fn,Fn,0.6739130434782609
4,true,12,T,T,0.8743718592964824
4,false,13,F,F,0.05172413793103448
4,true,14,T,T,0.8854166666666666
4,false,18,Tn,Tn,0.9423076923076923
4,false,20,Fn,Fn,0.8035714285714286
4,false,21,SOn,SOn,0.8363636363636363
4,false,22,Tn,Tn,1.0
4,true,24,Tn,Tn+1,0.8596491228070176
4,false,27,F,F,0.15384615384615385
4,false,28,Fn,Fn+1,0.023255813953488372
4,true,29,T,T,0.9055555555555556
4,true,30,Tn,Tn+1,0.8983050847457628
5,false,1,Fn,Fn,0.7142857142857143
5,false,4,F,F,0.027777777777777776
5,false,6,SOn,SOn,0.819672131147541
5,true,7,Tn,Tn+1,0.8444444444444444
5,true,8,T,T,0.8627450980392157
5,false,10,Fn,Fn+1,0.01694915254237288
5,false,11,Tn,Tn,0.9772727272727273
5,false,13,Tn,Tn,1.0
5,true,15,Tn,Tn+1,0.9361702127659575
5,true,16,Tn,Tn+1,0.9555555555555556
5,false,18,Fn,Fn,0.7777777777777778
5,false,19,Fn,Fn+1,0.05454545454545454
5,false,20,Fn,Fn,0.6226415094339622
5,false,22,Tn,Tn,0.9361702127659575
5,true,23,T,T,0.8983957219251337
5,false,24,SOn,SOn,0.8
5,false,27,Fn,Fn+1,0.08163265306122448
6,false,1,Fn,Fn+1,0.06382978723404255
6,false,3,Fn,Fn,0.7894736842105263
6,false,5,SOn,SOn,0.8448275862068966
6,false,9,Fn,Fn,0.7755102040816326
6,false,10,Tn,Tn,0.8775510204081632
6,true,11,T,T,0.8769230769230769
6,false,13,F,F,0.021739130434782608
6,true,16,Tn,Tn+1,0.8214285714285714
6,false,17,Fn,Fn,0.7291666666666666
6,false,19,Tn,Tn,0.9444444444444444
6,false,21,Fn,Fn+1,0.12
6,true,22,T,T,0.8656716417910447
6,true,23,T,T,0.8404255319148937
6,false,24,Tn,Tn,0.967741935483871
6,true,25,Tn,Tn+1,0.8490566037735849
6,true,26,T,T,0.8848167539267016
6,true,28,T,T,0.9095477386934674
7,false,1,SOn,SOn,0.62
7,false,4,Tn,Tn,0.9777777777777777
7,true,6,Tn,Tn+1,0.7358490566037735
7,false,7,Fn,Fn+1,0.0
7,false,8,F,F,0.07894736842105263
7,false,13,Fn,Fn+1,0.019230769230769232
7,false,14,F,F,0.03773584905660377
7,false,16,Fn,Fn,0.631578947368421
7,false,19,Fn,Fn,0.7567567567567568
7,false,20,SOn,SOn,0.7457627118644068
7,false,22,Tn,Tn,0.9787234042553191
7,false,23,Fn,Fn+1,0.1111111111111111
7,false,26,Tn,Tn,0.9824561403508771
7,false,27,Fn,Fn,0.6923076923076923
7,false,29,SOn,SOn,0.7358490566037735
7,true,30,T,T,0.9226519337016574
8,true,8,T,T,0.8373205741626795
8,true,10,T,T,0.8316831683168316
8,false,11,F,F,0.02702702702702703
8,false,12,SOn,SOn,0.7924528301886793
8,false,13,Tn,Tn,0.9795918367346939
8,false,14,Fn,Fn,0.7083333333333334
8,false,15,Fn,Fn+1,0.02127659574468085
8,true,17,T,T,0.8795811518324608
8,false,21,Fn,Fn,0.8260869565217391
8,false,23,Fn,Fn,0.717391304347826
8,false,24,F,F,0.08888888888888889
8,true,25,T,T,0.9106145251396648
8,false,26,Tn,Tn,0.9655172413793104
8,false,27,F,F,0.11320754716981132
8,true,29,Tn,Tn+1,0.8478260869565217
8,false,30,SOn,SOn,0.6140350877192983
9,false,1,Tn,Tn,0.8780487804878049
9,true,3,T,T,0.8461538461538461
9,false,4,F,F,0.0
9,false,6,Fn,Fn,0.6724137931034483
9,false,8,SOn,SOn,0.8095238095238095
9,false,9,Tn,Tn,0.9487179487179487
9,true,11,T,T,0.861904761904762
9,false,14,SOn,SOn,0.8163265306122449
9,false,17,Fn,Fn+1,0.07272727272727272
9,true,19,Tn,Tn+1,0.9111111111111111
9,true,20,Tn,Tn+1,0.9791666666666666
9,true,22,Tn,Tn+1,0.9318181818181818
9,false,25,Tn,Tn,0.9347826086956522
9,false,27,Fn,Fn+1,0.027777777777777776
9,true,28,T,T,0.905
10,false,1,Fn,Fn,0.6557377049180327
